item_id,title,price,old_price,brand,category,href
13990058,Миша Esperanza MX405 Cyborg USB Black/Green (EGM405),199,249,Esperanza,Ігрові миші,https://rozetka.com.ua/ua/esperanza_mx405_cyborg_egm405/p13990058/
239781571,Клавіатура дротова Xtrfy K4 TKL RGB Kailh Red USB Black UKR RUS (XG-K4-RGB-TKL-R-UKR),4859,3399,Xtrfy,Ігрові клавіатури,https://rozetka.com.ua/ua/xtrfy_xg_k4_rgb_tkl_r_ukr/p239781571/
338860045,Геймерський килимок для мишки SKY (GMS-WT 7030/182) Muscle Car/ RGB підсвічування / 70x30 см,487,587,Sky,Ігрові поверхні,https://hard.rozetka.com.ua/ua/338860045/p338860045/
107611008,Миша Canyon CNE-CMS1 USB Black,109,139,Canyon,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/canyon_cne_cms1/p107611008/
355002927,"Килимок для комп'ютерної мишки ""Перська"" (23*18*0.25см) Mouse миші (644370484-1) Червоний",290,0,Без бренда,Ігрові поверхні,https://hard.rozetka.com.ua/ua/355002927/p355002927/
351658017,Миша MSI Clutch GM41 LIGHTWEIGHT V2 USB Black,1499,1799,MSI,Ігрові миші,https://rozetka.com.ua/ua/msi-clutch-gm41-lightweight-v2/p351658017/
353324790,Килимок для миші Presentville Гарри Поттер (символы) 24x20 см,320,0,Presentville,Ігрові поверхні,https://hard.rozetka.com.ua/ua/353324790/p353324790/
121451050,Клавіатура дротова Defender Ultra HB-330L USB Black (45330),349,293,Defender,Ігрові клавіатури,https://rozetka.com.ua/ua/defender_45330/p121451050/
128724475,Ігрова поверхня Marvo G13 XL Speed/Control (G13.XL.RD),389,310,Marvo,Ігрові поверхні,https://hard.rozetka.com.ua/ua/marvo_g13_xl_rd/p128724475/
339602938,Комп'ютерна провідна мишка MA-MTA26 літак,195,277,Без бренда,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/339602938/p339602938/
271093496,Миша Corsair Katar Pro USB Black (CH-930C011-EU),696,879,Corsair,Ігрові миші,https://rozetka.com.ua/ua/corsair_ch_930c011_eu/p271093496/
320751253,Ігрова поверхня 2E Gaming Mouse Speed/Pad XL White (2E-PG320WH),543,0,2E,Ігрові поверхні,https://hard.rozetka.com.ua/ua/320751253/p320751253/
356533758,Wireless Миша Logitech M280 Чорний,799,0,Logitech,Комп'ютерні миші,https://hard.rozetka.com.ua/ua/356533758/p356533758/
